topic,s,regdate,regdate-display,msg.commander,msg.sender,msg.ceramic_state.h-position,msg.information.serial_no,msg.information.iotm_fw_ver,msg.information.machine_fw_ver,msg.information.machine_no,msg.ceramic_state.curr_pinpoint,msg.stomach_pad.curr-temperature,msg.ceramic_state.dest_pinpoint,msg.ceramic_state.elapsed_time,msg.ceramic_state.v-position,msg.sub_state.curr-temperature,msg.ext1_state.curr-temperature,msg.base_state.curr-temperature,msg.ceramic_state.curr-temperature,msg.ceramic_state.state,msg.sub_state.play,msg.sub_state.mode,msg.sub_state.force,msg.music.play,msg.music.music_no,msg.timesync,msg.command_no,msg.refresh,msg.alpha_state.curr-temperature,msg.alpha_state.temperature,msg.information.firmware_ver,msg.reply.commander,msg.reply.activated,msg.reply.command_no,msg.reply.power,msg.ext1_state.temperature,msg.sub_force,msg.ceramic_state.operation_time,msg.music.bluetooth_name,msg.sub_state.temperature,msg.ceramic_state.mode_index,msg.ceramic_state.mode_list,msg.base_state.power,msg.ceramic_state.spin-length,msg.sub_play,msg.ceramic_force,msg.stomach_pad.mode,msg.ceramic_state.force,msg.ceramic_state.play,msg.base_state.temperature,msg.ceramic_state.temperature,msg.sub_state.state,msg.stomach_pad.play,msg.stomach_pad.temperature,msg.stomach_pad.force,msg.music.source,msg.music.volume,msg.music.voice_guidance,msg.music.sourcelist,msg.mode_list,msg.mode_index,msg.ceramic_mode,msg.power,msg.ceramic_play,msg.stomach_play,msg.stomach_force,msg.sub_temperature,msg.alpha_temperature,msg.ext2_temperature,msg.ext1_temperature,msg.temperature,msg.stomach_temperature,msg.ceramic_temperature,msg.CCIP_PTL,msg.music_volume,msg.sub_mode,msg.music_select,"msg.music_play
"
24d7eb4193d8,3,1641713190482.0,2022-01-09 16:26:30,385281.0,24d7eb4193d8,4738.0, ,000.03.010,001.01.007.ra,1.0,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb4196c8,3,1641713404891.0,2022-01-09 16:30:04,87577.0,24d7eb4196c8,, ,000.03.010,000.03.054.MA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb419740,3,1641713189408.0,2022-01-09 16:26:29,216519.0,24d7eb419740,5277.0, ,000.03.010,000.01.007.ma,1.0,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb419ec8,3,1641713193935.0,2022-01-09 16:26:33,382253.0,24d7eb419ec8,, ,000.03.010,000.03.055.RA,1.0,,,,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a01c,3,1641713190946.0,2022-01-09 16:26:30,351602.0,24d7eb41a01c,1092.0, ,000.03.010,000.03.055.BA,1.0,5.0,,5.0,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a024,3,1641713189229.0,2022-01-09 16:26:29,375953.0,24d7eb41a024,838.0, ,000.03.010,000.03.055.RA,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a098,3,1641713194851.0,2022-01-09 16:26:34,332658.0,24d7eb41a098,, ,000.03.010,000.01.006.va,1.0,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a0dc,3,1641713189804.0,2022-01-09 16:26:29,386405.0,24d7eb41a0dc,1546.0, ,000.03.010,000.03.054.MA,1.0,7.0,,,1210.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a398,3,1641713190349.0,2022-01-09 16:26:30,378035.0,24d7eb41a398,, ,000.03.010,001.01.007.ra,1.0,,,,1020.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41a4ec,3,1641713190641.0,2022-01-09 16:26:30,355413.0,24d7eb41a4ec,227.0, ,000.03.010,000.03.054.MA,1.0,0.0,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41abf8,3,1641713192503.0,2022-01-09 16:26:32,366001.0,24d7eb41abf8,, ,000.03.010,000.03.055.BA,1.0,,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41ad48,3,1641713189586.0,2022-01-09 16:26:29,335487.0,24d7eb41ad48,, ,000.03.010,000.03.059.SA,1.0,,,,,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41aec0,3,1641713189295.0,2022-01-09 16:26:29,386733.0,24d7eb41aec0,3276.0, ,000.03.010,000.01.107.sa,1.0,15.0,,,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41c280,3,1641713190071.0,2022-01-09 16:26:30,378088.0,24d7eb41c280,6768.0, ,000.03.010,000.03.059.SA,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41c404,3,1641713379574.0,2022-01-09 16:29:39,361859.0,24d7eb41c404,637.0, ,000.03.010,001.01.007.ra,1.0,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24d7eb41c43c,3,1641713190545.0,2022-01-09 16:26:30,14165.0,24d7eb41c43c,2033.0, ,000.03.010,000.03.055.BA,1.0,9.0,,,,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
